DATE,GDP
01-01-2013,0.867789548
01-04-2013,0.13938522
01-07-2013,0.791653411
01-10-2013,0.711171002
01-01-2014,-0.350109737
01-04-2014,1.284128907
01-07-2014,1.164961644
01-10-2014,0.448993402
01-01-2015,0.813313626
01-04-2015,0.580001432
01-07-2015,0.323372673
01-10-2015,0.146234347
01-01-2016,0.589179869
01-04-2016,0.302388807
01-07-2016,0.601115379
01-10-2016,0.496888796
01-01-2017,0.429663114
01-04-2017,0.503792981
01-07-2017,0.827488715
01-10-2017,1.005660086
01-01-2018,0.692653861
01-04-2018,0.697342921
01-07-2018,0.722035914
01-10-2018,0.181783198
01-01-2019,0.54271061
01-04-2019,0.67300894
01-07-2019,0.889966473
01-10-2019,0.443046894
01-01-2020,-1.175154201
01-04-2020,-8.484336154
01-07-2020,7.854483117
01-10-2020,0.963213279
01-01-2021,1.542791999
01-04-2021,1.707015905
01-07-2021,0.656694491
01-10-2021,1.69569402
01-01-2022,-0.410338185
01-04-2022,-0.144633973
01-07-2022,0.635578173
