Date,CPI_diff
05-11-1980,0.853898045
06-11-1980,0.85462781
07-11-1980,0.857780065
10-11-1980,0.858811405
12-11-1980,0.856164384
13-11-1980,0.854335754
14-11-1980,0.856017805
17-11-1980,0.856751199
18-11-1980,0.857632933
19-11-1980,0.856017805
20-11-1980,0.85660442
21-11-1980,0.857485851
24-11-1980,0.856677803
25-11-1980,0.856971463
26-11-1980,0.858221765
28-11-1980,0.859106529
01-12-1980,0.860437102
02-12-1980,0.859106529
03-12-1980,0.859549596
04-12-1980,0.85785365
05-12-1980,0.857780065
08-12-1980,0.855066268
09-12-1980,0.856898029
10-12-1980,0.856237692
11-12-1980,0.859845228
12-12-1980,0.859623485
15-12-1980,0.85741233
16-12-1980,0.858663919
17-12-1980,0.858663919
18-12-1980,0.858148116
19-12-1980,0.856898029
22-12-1980,0.855505176
23-12-1980,0.852151683
24-12-1980,0.85106383
26-12-1980,0.850340136
29-12-1980,0.85106383
30-12-1980,0.847457627
31-12-1980,0.84645336
02-01-1981,0.847314015
05-01-1981,0.844095552
06-01-1981,0.841042893
07-01-1981,0.841042893
08-01-1981,0.842815002
09-01-1981,0.843739453
12-01-1981,0.847457627
13-01-1981,0.847960655
14-01-1981,0.846883469
15-01-1981,0.846381718
16-01-1981,0.848320326
19-01-1981,0.846740051
20-01-1981,0.84623847
21-01-1981,0.842815002
22-01-1981,0.845594453
23-01-1981,0.847314015
26-01-1981,0.841750842
27-01-1981,0.849617672
28-01-1981,0.850701829
29-01-1981,0.851788756
30-01-1981,0.848608282
02-02-1981,0.855431993
03-02-1981,0.858958942
04-02-1981,0.85719184
05-02-1981,0.857927248
06-02-1981,0.857927248
09-02-1981,0.857927248
10-02-1981,0.858148116
11-02-1981,0.858221765
13-02-1981,0.865351333
17-02-1981,0.865426222
18-02-1981,0.862440707
19-02-1981,0.862589494
20-02-1981,0.856898029
23-02-1981,0.857265324
24-02-1981,0.860215054
25-02-1981,0.861326443
26-02-1981,0.863185153
27-02-1981,0.865800866
02-03-1981,0.868432479
03-03-1981,0.868658791
04-03-1981,0.864902266
05-03-1981,0.86565097
06-03-1981,0.865800866
09-03-1981,0.864378944
10-03-1981,0.860585198
11-03-1981,0.861252261
12-03-1981,0.861178092
13-03-1981,0.860437102
16-03-1981,0.858516484
17-03-1981,0.857632933
18-03-1981,0.854554777
19-03-1981,0.853460783
20-03-1981,0.852369587
23-03-1981,0.854554777
24-03-1981,0.853970965
25-03-1981,0.855285665
26-03-1981,0.858369099
27-03-1981,0.861697544
30-03-1981,0.860067085
31-03-1981,0.856971463
01-04-1981,0.859254167
02-04-1981,0.860807437
03-04-1981,0.863036161
06-04-1981,0.866551127
07-04-1981,0.865201592
08-04-1981,0.864677907
09-04-1981,0.865426222
10-04-1981,0.866325912
13-04-1981,0.868734254
14-04-1981,0.867829558
15-04-1981,0.870322019
16-04-1981,0.870700914
17-04-1981,0.870322019
20-04-1981,0.872219799
21-04-1981,0.871080139
22-04-1981,0.867603679
23-04-1981,0.867453158
24-04-1981,0.868281671
27-04-1981,0.866551127
28-04-1981,0.866776458
29-04-1981,0.868658791
30-04-1981,0.870170553
01-05-1981,0.870549317
04-05-1981,0.873286176
05-05-1981,0.875656743
06-05-1981,0.875043752
07-05-1981,0.876424189
08-05-1981,0.874508089
11-05-1981,0.875120329
12-05-1981,0.876501008
13-05-1981,0.877577885
14-05-1981,0.880746873
15-05-1981,0.880902044
18-05-1981,0.878503031
19-05-1981,0.877039116
20-05-1981,0.875273523
21-05-1981,0.875733427
22-05-1981,0.87657784
26-05-1981,0.878425861
27-05-1981,0.880669309
28-05-1981,0.878117316
29-05-1981,0.878194432
01-06-1981,0.876347384
02-06-1981,0.879120879
03-06-1981,0.879275477
04-06-1981,0.886524823
05-06-1981,0.888099467
08-06-1981,0.887311446
09-06-1981,0.887311446
10-06-1981,0.883002208
11-06-1981,0.883158174
12-06-1981,0.881057269
15-06-1981,0.874508089
16-06-1981,0.872219799
17-06-1981,0.87024628
18-06-1981,0.871307833
19-06-1981,0.872600349
22-06-1981,0.871763578
23-06-1981,0.86918731
24-06-1981,0.869036239
25-06-1981,0.871459695
26-06-1981,0.871080139
29-06-1981,0.870852565
30-06-1981,0.871231922
01-07-1981,0.871991629
02-07-1981,0.871080139
03-07-1981,0.873286176
06-07-1981,0.873591334
07-07-1981,0.872981231
08-07-1981,0.874125874
09-07-1981,0.874890639
10-07-1981,0.874125874
13-07-1981,0.873362445
14-07-1981,0.874890639
15-07-1981,0.872600349
16-07-1981,0.873133677
17-07-1981,0.872905028
20-07-1981,0.874125874
21-07-1981,0.877577885
22-07-1981,0.876040298
23-07-1981,0.877346903
24-07-1981,0.876808417
27-07-1981,0.876501008
28-07-1981,0.878117316
29-07-1981,0.877577885
30-07-1981,0.87966221
31-07-1981,0.880902044
03-08-1981,0.887862914
04-08-1981,0.890868597
05-08-1981,0.886682036
06-08-1981,0.884955752
07-08-1981,0.881600987
10-08-1981,0.883392226
11-08-1981,0.885112409
12-08-1981,0.878425861
13-08-1981,0.879507476
14-08-1981,0.879275477
17-08-1981,0.876424189
18-08-1981,0.874125874
19-08-1981,0.87320992
20-08-1981,0.870322019
21-08-1981,0.868055556
24-08-1981,0.868206286
25-08-1981,0.872600349
26-08-1981,0.871991629
27-08-1981,0.871839582
28-08-1981,0.869943454
31-08-1981,0.869943454
01-09-1981,0.872600349
02-09-1981,0.870700914
03-09-1981,0.870322019
04-09-1981,0.869943454
08-09-1981,0.87427872
09-09-1981,0.876501008
10-09-1981,0.874125874
11-09-1981,0.875273523
14-09-1981,0.871991629
15-09-1981,0.866926745
16-09-1981,0.865276456
17-09-1981,0.864677907
18-09-1981,0.864603147
21-09-1981,0.863930886
22-09-1981,0.863930886
23-09-1981,0.868658791
24-09-1981,0.871459695
25-09-1981,0.872905028
28-09-1981,0.875886835
29-09-1981,0.874049471
30-09-1981,0.875043752
01-10-1981,0.874890639
02-10-1981,0.873362445
05-10-1981,0.869565217
06-10-1981,0.870700914
07-10-1981,0.867152272
08-10-1981,0.866926745
09-10-1981,0.86565097
13-10-1981,0.868055556
14-10-1981,0.87009484
15-10-1981,0.872600349
16-10-1981,0.875580072
19-10-1981,0.875120329
20-10-1981,0.876424189
21-10-1981,0.879507476
22-10-1981,0.880436697
23-10-1981,0.878348704
26-10-1981,0.88269044
27-10-1981,0.882145378
28-10-1981,0.881212548
29-10-1981,0.880669309
30-10-1981,0.879507476
02-11-1981,0.875196919
04-11-1981,0.874661069
05-11-1981,0.874431619
06-11-1981,0.874890639
09-11-1981,0.87420229
10-11-1981,0.87657784
12-11-1981,0.874508089
13-11-1981,0.874125874
16-11-1981,0.873973082
17-11-1981,0.874125874
18-11-1981,0.872524213
19-11-1981,0.871687587
20-11-1981,0.872981231
23-11-1981,0.871991629
24-11-1981,0.87092841
25-11-1981,0.86979212
27-11-1981,0.869036239
30-11-1981,0.868206286
01-12-1981,0.871080139
02-12-1981,0.871687587
03-12-1981,0.874814102
04-12-1981,0.873896705
07-12-1981,0.874890639
08-12-1981,0.878348704
09-12-1981,0.877963126
10-12-1981,0.881057269
11-12-1981,0.882378893
14-12-1981,0.884564352
15-12-1981,0.882612533
