DATE,GDP
01-01-2013,0.438434277
01-04-2013,0.414845889
01-07-2013,0.781005211
01-10-2013,0.812261066
01-01-2014,0.770079521
01-04-2014,0.439564924
01-07-2014,0.467208508
01-10-2014,0.378543652
01-01-2015,0.935740311
01-04-2015,0.080710787
01-07-2015,1.024909329
01-10-2015,0.62875151
01-01-2016,0.887871854
01-04-2016,0.605066922
01-07-2016,0.119598475
01-10-2016,1.087753763
01-01-2017,0.290652036
01-04-2017,0.575811679
01-07-2017,0.974243132
01-10-2017,0.486795896
01-01-2018,0.94026927
01-04-2018,0.729847562
01-07-2018,0.42384889
01-10-2018,0.221891089
01-01-2019,0.498909206
01-04-2019,0.48373443
01-07-2019,0.831628355
01-10-2019,0.516624692
01-01-2020,-0.225418231
01-04-2020,-7.02001809
01-07-2020,3.493950972
01-10-2020,3.438658836
01-01-2021,1.946940394
01-04-2021,0.588369825
01-07-2021,-1.829795586
01-10-2021,3.853500852
01-01-2022,0.710958288
01-04-2022,0.892928115
